iter	Logloss
0	0.6744061678
1	0.651928755
2	0.6379410956
3	0.6177074734
4	0.6001624623
5	0.5870608393
6	0.5742831337
7	0.5612111537
8	0.5453629951
9	0.5380694442
10	0.5247460324
11	0.5083009831
12	0.4969588811
13	0.4843930241
14	0.4730434704
15	0.4568980242
16	0.4464141832
17	0.4361954232
18	0.4263568599
19	0.4166906282
20	0.407836035
21	0.3979124984
22	0.3896097906
23	0.3781332627
24	0.3699335881
25	0.3621093964
26	0.3539971488
27	0.3478779872
28	0.3393264867
29	0.3326964897
30	0.3244373898
31	0.3182544273
32	0.3125083989
33	0.3064932769
34	0.3010731817
35	0.2957639022
36	0.2940449795
37	0.287317434
38	0.2829352643
39	0.2794185863
40	0.2746893975
41	0.2692641837
42	0.2638704693
43	0.2600456883
44	0.2548500768
45	0.2495217102
46	0.2444274512
47	0.2383962224
48	0.234270869
49	0.2300488336
50	0.2252268696
51	0.2222376588
52	0.2190110481
53	0.2159139873
54	0.213327844
55	0.2082880204
56	0.2048154812
57	0.2025679032
58	0.1991034661
59	0.1956124805
60	0.1922308196
61	0.1888877959
62	0.1862387649
63	0.1832454025
64	0.1796279799
65	0.1773212124
66	0.1756046917
67	0.1730104953
68	0.170276044
69	0.1677682792
70	0.1648341336
71	0.1624139852
72	0.1588646209
73	0.1566277981
74	0.1541954954
75	0.1524115611
76	0.1498077459
77	0.1474943776
78	0.1451838871
79	0.1428366925
80	0.1419258405
81	0.1397509232
82	0.1377858409
83	0.1358024332
84	0.1338421903
85	0.1318845596
86	0.1297167755
87	0.1278890089
88	0.1258574158
89	0.123532075
90	0.1217050716
91	0.1204624258
92	0.1190377312
93	0.1170938625
94	0.1155308838
95	0.1139570412
96	0.1122537852
97	0.1109084323
98	0.1097876189
99	0.1084241787
100	0.1072240473
101	0.1061627829
102	0.1051452386
103	0.1037968063
104	0.1024400464
105	0.1010833475
106	0.100146448
107	0.09911607073
108	0.09829674968
109	0.09697275327
110	0.0960343753
111	0.09484862466
112	0.09326045131
113	0.0924024618
114	0.09152210311
115	0.09025969398
116	0.08914392535
117	0.08841053355
118	0.08723537177
119	0.08579111665
120	0.0847411298
121	0.08352807048
122	0.08236415682
123	0.08131778627
124	0.08029554603
125	0.07963338401
126	0.07871523907
127	0.07797900008
128	0.07693693067
129	0.07599922835
130	0.07523698902
131	0.07457363361
132	0.07372811567
133	0.07297013878
134	0.0722415265
135	0.07170850913
136	0.07100905502
137	0.07051879616
138	0.06972645021
139	0.06909835958
140	0.06822834319
141	0.06742659464
142	0.06659014247
143	0.06616480644
144	0.06536163798
145	0.06443163431
146	0.06378182336
147	0.06319839933
148	0.06243476055
149	0.06174402742
150	0.06113837879
151	0.06048767874
152	0.05986661564
153	0.05935082956
154	0.05877820355
155	0.05808097892
156	0.05742442958
157	0.05682440684
158	0.05640134137
159	0.05579851606
160	0.05517152086
161	0.05434444248
162	0.05386001247
163	0.05338220331
164	0.05279164579
165	0.05231105114
166	0.05193876249
167	0.05146697474
168	0.05104731503
169	0.05056569347
170	0.04995646294
171	0.04957918169
172	0.04920964037
173	0.04872277869
174	0.04813283095
175	0.04776651073
176	0.04727743842
177	0.04683595333
178	0.04639859042
179	0.04596963257
180	0.0456050283
181	0.04520528665
182	0.04477633261
183	0.04437732087
184	0.04417653375
185	0.04392791383
186	0.04357630056
187	0.04314724713
188	0.0427541545
189	0.04235898829
190	0.04200941651
191	0.04173086838
192	0.04137457061
193	0.04089159258
194	0.04057135742
195	0.04022338277
196	0.03994027243
197	0.0397044744
198	0.03939736462
199	0.0391140344
200	0.03890884935
201	0.03861187099
202	0.03821629509
203	0.03786705376
204	0.03761530723
205	0.03749124965
206	0.03732162703
207	0.036984287
208	0.03672267089
209	0.03652776238
210	0.03623661081
211	0.03601296105
212	0.03576813301
213	0.03545863747
214	0.03520624739
215	0.03485358629
216	0.03463649313
217	0.03440041229
218	0.03404114557
219	0.03381526705
220	0.03355472254
221	0.03341704566
222	0.03308766377
223	0.03299201203
224	0.03284970343
225	0.03264456499
226	0.03253533685
227	0.03238575226
228	0.03215826898
229	0.03195293384
230	0.03178115517
231	0.03170436886
232	0.03156647387
233	0.0313725358
234	0.03113448566
235	0.03092359354
236	0.03074076727
237	0.03054687859
238	0.03034971742
239	0.03016150167
240	0.02990594893
241	0.02968776322
242	0.02945607764
243	0.02924878364
244	0.0290889311
245	0.02886744961
246	0.02870265483
247	0.02853344906
248	0.02829797126
249	0.02819406023
250	0.02807596377
251	0.02791765969
252	0.0277453976
253	0.0276053057
254	0.02738774634
255	0.02720757085
256	0.02703199978
257	0.02688671732
258	0.02670105949
259	0.02654282515
260	0.0264410903
261	0.02628227283
262	0.02612713621
263	0.0259532752
264	0.02589098718
265	0.02576790983
266	0.02560818397
267	0.02543134508
268	0.02529996337
269	0.02513951095
270	0.02497326509
271	0.02487661896
272	0.02474366149
273	0.02457942424
274	0.02446632265
275	0.02430079458
276	0.02417844369
277	0.02404401384
278	0.02392136369
